Designator,Mid X,Mid Y,Rotation,Layer
BOOT,171.6278,-105.2322,90.0,top
C1,125.741,-74.9604,270.0,top
C10,188.1632,-125.5776,90.0,top
C2,123.1706,-69.8144,180.0,top
C3,132.1926,-68.9356,270.0,top
C4,123.1502,-71.948,180.0,top
C5,120.8786,-75.2754,90.0,top
C6,114.427,-77.597,270.0,top
C7,113.7015,-74.2594,180.0,top
C8,113.7015,-72.075,180.0,top
C9,188.0616,-129.3266,270.0,top
L1,127.9723,-69.0524,180.0,top
L2,118.0338,-72.2274,180.0,top
R1,176.7859,-99.8692,180.0,top
R2,176.9345,-104.9528,0.0,top
RESET,171.3756,-100.4316,90.0,top
U5,128.8597,-72.9132,180.0,top
U6,117.7091,-75.2602,180.0,top
